Judul;Pendapatan;Prediksi;Tahun
Skyscraper;304.868.961;68.420.120;2018
A Good Day to Die Hard;304.654.182;67.349.198;2013
Mulan;304.320.254;120.620.254;1998
Dangal;303.723.636;12.391.761;2016
Passengers;303.144.152;100.014.699;2016
Battleship;303.025.485;65.422.625;2012
Liar Liar;302.710.615;181.410.615;1997
G.I. Joe: The Rise of Cobra;302.469.017;150.201.498;2009
Wrath of the Titans;301.970.083;83.670.083;2012
Fantastic 4: Rise of the Silver Surfer;301.913.131;131.921.738;2007
Hook;300.854.823;119.654.823;1991
Rocky IV;300.473.716;127.873.716;1985
Superman;300.451.603;134.451.603;1978
Rambo: First Blood Part II;300.400.432;150.415.432;1985
Resident Evil: Afterlife;300.228.084;60.128.566;2010
Van Helsing;300.157.638;120.177.084;2004
Stuart Little;300.135.367;140.035.367;1999
Beverly Hills Cop II;299.965.036;153.665.036;1987
Alice Through the Looking Glass;299.457.024;77.041.381;2016
My Best Friend's Wedding;299.288.605;127.120.029;1997
Real Steel;299.268.508;85.468.508;2011
Horton Hears a Who!;298.572.799;154.529.439;2008
Ocean's 8;297.718.711;140.218.711;2018
Insurgent;297.002.527;130.179.072;2015
Look Who's Talking;296.999.813;140.088.813;1989
Austin Powers in Goldmember;296.938.801;213.307.889;2002
Miss Peregrine's Home for Peculiar Children;296.482.446;87.242.834;2016
X-Men;296.339.528;157.299.718;2000
Ferdinand;296.069.199;84.410.380;2017
Ghostbusters;295.743.767;242.582.079;1984
Shutter Island;294.804.195;128.012.934;2010
Doctor Dolittle;294.456.605;144.156.605;1998
Bee Movie;293.514.336;126.631.277;2007
Salt;293.503.354;118.311.368;2010
G-Force;292.817.841;119.436.770;2009
The Departed;291.465.034;132.384.315;2006
What Lies Beneath;291.420.351;155.464.351;2000
Pacific Rim: Uprising;290.930.148;59.874.525;2018
The Bourne Supremacy;290.835.269;176.241.941;2004
Sex and the City 2;290.745.055;95.347.692;2010
Shakespeare in Love;289.317.794;100.317.794;1998
Divergent;288.885.818;150.947.895;2014
Coming to America;288.752.301;128.152.301;1988
Wedding Crashers;288.467.645;209.255.921;2005
Bridesmaids;288.383.523;169.106.725;2011
Maze Runner: The Death Cure;288.175.335;58.032.443;2018
Casper;287.928.194;100.328.194;1995
American Pie 2;287.553.595;145.103.595;2001
Pitch Perfect 2;287.144.079;184.296.230;2015
The Green Mile;286.801.374;136.801.374;1999
Oblivion;286.168.572;89.107.235;2013
Elysium;286.140.700;93.050.117;2013
Lethal Weapon 4;285.444.603;130.444.603;1998
John Carter;284.139.100;73.078.100;2012
Paddington;282.839.394;76.271.832;2014
Turbo;282.570.682;83.028.128;2013
Bridget Jones's Diary;281.929.795;71.543.427;2001
The Tourist;278.780.441;67.631.157;2010
Split;278.454.358;138.291.365;2017
Scary Movie;278.019.771;157.019.771;2000
xXx;277.448.382;142.109.382;2002
The Bourne Legacy;276.144.750;113.203.870;2012
Mr. Peabody & Sherman;275.698.039;111.506.430;2014
Scooby-Doo;275.650.703;153.294.164;2002
Lincoln;275.293.450;182.207.973;2012
Lara Croft: Tomb Raider;274.703.340;131.168.070;2001
Tomb Raider;274.650.803;58.250.803;2018
The Expendables;274.470.394;103.068.524;2010
Cloudy with a Chance of Meatballs 2;274.325.949;119.793.567;2013
The Little Mermaid;274.176.364;111.543.479;1989
The Nutty Professor;273.961.019;128.814.019;1996
Jerry Maguire;273.552.592;153.952.592;1996
Bad Boys II;273.339.556;138.608.444;2003
Lilo & Stitch;273.144.151;145.794.338;2002
The Silence of the Lambs;272.753.884;130.742.922;1991
Grown Ups;271.430.189;162.001.186;2010
Neighbors;270.665.134;150.157.400;2014
The Firm;270.248.367;158.348.367;1993
We're the Millers;269.994.119;150.394.119;2012
Gran Torino;269.958.228;148.095.302;2008
10.000 BC;269.784.201;94.784.201;2008
American Gangster;269.755.430;130.164.645;2007
Epic;268.426.634;107.518.682;2013
Exodus: Gods and Kings;268.175.631;65.014.513;2014
Bambi;267.447.150;102.247.150;1942
The Princess and the Frog;267.045.765;104.400.899;2009
Batman Returns;266.903.053;162.902.340;1992
Indecent Proposal;266.614.059;106.614.059;1993
Something's Gotta Give;265.328.738;124.728.738;2003
Bridget Jones: The Edge of Reason;265.126.918;40.226.215;2004
The Incredible Hulk;264.770.996;134.806.913;2008
Waterworld;264.218.220;88.246.220;1995
The Truman Show;264.118.201;125.618.201;1998
Charlie's Angels;264.105.545;125.305.545;2000
The Fifth Element;264.029.966;63.820.180;1997
Jumanji;262.821.940;100.499.940;1995
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;262.552.893;128.505.958;2006
Robots;262.511.490;128.200.012;2005
Knight and Day;261.989.769;76.423.035;2008
Total Recall;261.317.921;119.412.921;1990
This Is It;261.183.588;72.091.016;2009
Terminator: Dark Fate;261.119.292;62.253.077;2019
The Lone Ranger;260.502.115;89.302.115;2013
Super 8;260.095.986;127.004.179;2011
Xun long jue;259.368.448;1.243.810;2015
Blade Runner 2049;259.239.658;92.054.159;2017
Charlie's Angels: Full Throttle;259.175.788;100.830.111;2003
Rush Hour 3;258.097.122;140.125.968;2007
The Full Monty;257.938.649;45.950.122;1997
Kung Fu Yoga;257.743.016;362.657;2017
Parasite;257.097.915;53.369.749;2019
Annabelle;257.047.661;84.273.813;2014
The Village;256.697.520;114.197.520;2003
Lost in Hong Kong;256.283.912;1.302.281;2015
Erin Brockovich;256.271.286;125.595.205;2000
Marley & Me;255.743.093;143.153.751;2008
Halloween;255.485.178;159.342.015;2018
Get Out;255.413.717;176.040.665;2017
Us;255.184.580;175.084.580;2019
Cliffhanger;255.000.211;84.049.211;1993
Baahubali 2: The Conclusion;254.158.390;20.186.659;2017
Babe;254.134.910;63.658.910;1995
Men in Black: International;253.890.701;80.001.807;2019
Wild Hogs;253.625.427;168.273.550;2007
High School Musical 3;252.909.177;90.559.416;2008
Hercules;252.712.101;99.112.101;1997
X-Men: Dark Phoenix;252.442.974;65.845.974;2019
True Grit;252.276.927;171.243.005;2010
Bean;251.212.670;45.319.423;1997
American Hustle;251.171.807;150.117.807;2013
Enemy of the State;250.849.789;111.549.836;1998
You've Got Mail;250.821.495;115.821.495;1998
Eragon;250.425.512;75.030.163;2006
Brother Bear;250.397.798;85.336.277;2003
The Mask of Zorro;250.288.523;94.095.523;1998
The Ring;249.348.933;129.128.133;2002
Back to the Future Part III;249.130.916;88.277.583;1990
The Blair Witch Project;248.639.099;140.539.099;1999
Unbreakable;248.118.121;95.011.339;2000
Journey to the West: The Demons Strike Back;247.585.244;880.346;2017
Dumb and Dumber;247.275.374;127.175.374;1994
Glass;246.999.039;111.048.468;2019
Grown Ups 2;246.984.278;133.668.525;2013
The Peanuts Movie;246.233.113;130.178.411;2015
The Godfather;246.120.974;134.966.411;1972
Rango;245.724.603;123.477.607;2011
Four Weddings and a Funeral;245.700.832;52.700.832;1994
Face/Off;245.676.146;112.276.146;1997
Teenage Mutant Ninja Turtles: Out of the Shadows;245.623.848;82.051.601;2016
Dark Shadows;245.527.149;79.727.149;2012
Hulk;245.285.165;132.177.234;2003
The Bravest;245.179.562;290.217;2019
Love Actually;244.931.766;59.696.144;2003
Pixels;244.874.809;78.747.585;2015
Hercules;244.819.862;72.688.614;2014
Rush Hour;244.721.064;141.186.864;1998
Journey to the Center of the Earth;244.232.688;101.704.370;2008
After Earth;243.611.982;60.522.097;2013
A Few Good Men;243.240.178;141.340.178;1992
Cloudy with a Chance of Meatballs;243.006.126;124.870.275;2009
8 Mile;242.875.078;116.750.901;2002
Daddy's Home;242.786.137;150.357.137;2015
RoboCop;242.688.965;58.607.007;2014
Eraser;242.295.562;101.295.562;1996
Alien: Covenant;240.891.763;74.262.031;2017
Sully;240.797.623;125.070.033;2016
Assassin's Creed;240.697.856;54.647.948;2016
Click;240.685.326;137.355.633;2006
Die Hard 2;240.247.433;117.540.947;1990
Resident Evil: Retribution;240.159.255;42.345.531;2012
Crocodile Dundee II;239.606.210;109.306.210;1988
Planes;239.258.712;90.288.712;2013
Crazy Rich Asians;238.532.921;174.532.921;2018
Batman & Robin;238.235.915;107.353.792;1997
Gulliver's Travels;237.382.724;42.779.261;2010
Gone in 60 Seconds;237.202.299;101.648.571;2000
Saturday Night Fever;237.113.184;94.213.184;1977
Silver Linings Playbook;236.412.453;132.092.958;2012
2 Fast 2 Furious;236.350.661;127.154.901;2003
Howl's Moving Castle;236.212.992;5.576.743;2004
Hidden Figures;235.956.898;169.607.287;2016
A.I. Artificial Intelligence;235.926.552;78.616.689;2001
Dead Poets Society;235.860.116;95.860.116;1988
Spy;235.666.219;110.825.712;2015
American Pie;235.483.004;102.561.004;1999
American Reunion;234.989.584;57.011.521;2012
Big Daddy;234.801.895;163.479.795;1999
Alvin and the Chipmunks: The Road Chip;234.798.636;85.886.987;2015
The Imitation Game;233.555.708;91.125.683;2014
The Day the Earth Stood Still;233.093.859;79.366.978;2008
American Wedding;232.722.935;104.565.114;2003
The Girl with the Dragon Tattoo;232.617.430;102.515.793;2011
Juno;232.372.681;143.495.265;2007
Argo;232.325.503;136.025.503;2012
Mr. Bean's Holiday;232.225.908;33.302.167;2007
The English Patient;231.976.425;78.676.425;1996
Sister Act;231.605.150;139.605.150;1992
Annabelle Comes Home;231.252.591;74.152.591;2019
Constantine;230.884.728;75.976.178;2005
Get Smart;230.685.453;130.319.208;2008
Space Jam;230.418.342;90.418.342;1996
Life Is Beautiful;230.098.753;57.563.264;1998
The Heat;229.930.771;159.582.188;2013
Ghostbusters;229.147.509;128.350.574;2016
Ghost Rider;228.738.393;115.802.596;2007
Goodbye Mr. Loser;228.122.928;1.293.626;2015
Paddington 2;227.978.523;40.891.591;2017
Sleepless in Seattle;227.927.165;126.808.165;1993
Lethal Weapon 2;227.853.986;147.253.986;1989
The Green Hornet;227.817.248;98.780.042;2011
Out of Africa;227.542.205;87.071.205;1985
Youth;227.091.290;1.891.956;2017
Baby Driver;226.945.087;107.825.862;2017
Immortals;226.904.017;83.504.017;2011
Taken;226.837.760;145.000.989;2008
Percy Jackson & the Olympians: The Lightning Thief;226.497.209;88.768.303;2010
Hansel & Gretel: Witch Hunters;226.349.749;55.703.475;2013
Good Will Hunting;225.933.435;138.433.435;1997
Valerian and the City of a Thousand Planets;225.874.228;41.189.488;2017
Ford v Ferrari;225.508.210;117.624.357;2019
Better Days;225.320.294;1.921.657;2019
Jumper;225.132.113;80.172.128;2008
The Social Network;224.920.315;96.962.694;2010
Chicken Run;224.834.564;106.834.564;2000
Con Air;224.012.234;101.117.573;1997
Interview with the Vampire: The Vampire Chronicles;223.664.608;105.264.608;1994
Flightplan;223.387.299;89.707.299;2005
Dolittle;223.343.452;77.047.065;2020
Yes Man;223.241.637;97.690.976;2008
Non-Stop;222.809.600;92.168.600;2014
Honey. I Shrunk the Kids;222.724.172;130.724.172;1989
Fahrenheit 9/11;222.446.882;119.194.771;2004
Wild Wild West;222.104.681;113.804.681;1999
Elf;221.671.773;174.626.840;2003
Geostorm;221.600.160;33.700.160;2017
Presumed Innocent;221.303.188;86.303.188;1990
Collateral;220.926.695;101.005.703;2004
Scary Movie 3;220.673.217;110.003.217;2003
Inferno;220.021.259;34.343.574;2016
Knocked Up;219.922.417;148.768.917;2007
Green Lantern;219.851.172;116.601.172;2011
What Happens in Vegas;219.375.562;80.277.646;2008
It's Complicated;219.103.655;112.735.375;2009
The Terminal;219.100.084;77.872.883;2004
Captain Phillips;218.791.811;107.100.855;2013
The Prince of Egypt;218.613.188;101.413.188;1998
Jack Reacher;218.340.595;80.070.736;2012
Kingdom of Heaven;218.122.627;47.398.413;2005
The Emoji Movie;217.776.646;86.089.513;2017
Dirty Dancing;217.688.008;64.577.242;1987
Dracula Untold;217.124.280;56.280.355;2014
Central Intelligence;216.972.543;127.440.871;2016
Million Dollar Baby;216.763.646;100.492.203;2004
The Help;216.639.112;169.708.112;2011
Twins;216.614.388;111.938.388;1988
Valentine's Day;216.485.654;110.485.654;2010
Bad Teacher;216.197.492;100.292.856;2011
One Hundred and One Dalmatians;216.026.182;144.880.014;1961
Clear and Present Danger;215.887.717;122.187.717;1994
Ted 2;215.863.606;81.476.385;2015
Bram Stoker's Dracula;215.862.692;82.522.790;1992
Vertical Limit;215.663.859;69.243.859;2000
Ghostbusters II;215.394.738;112.494.738;1989
The Patriot;215.294.342;113.330.342;2000
The Sorcerer's Apprentice;215.283.742;63.150.991;2010
Just Go with It;214.945.591;103.028.109;2011
The Expendables 3;214.657.577;39.322.544;2014
The Fast and the Furious;214.463.726;144.533.925;2001
Creed II;214.215.889;115.715.889;2018
Pulp Fiction;214.179.088;107.928.762;1994
Public Enemies;214.104.620;97.104.620;2009
Smallfoot;214.040.103;83.240.103;2018
The Bourne Identity;214.034.224;121.661.683;2002
Disclosure;214.015.089;83.015.089;1994
The Aviator;213.719.942;102.610.330;2004
Crouching Tiger. Hidden Dragon;213.525.736;128.078.872;2000
Braveheart;213.216.216;75.609.945;1995
Into the Woods;212.902.372;128.002.372;2014
Bedtime Stories;212.874.864;110.101.975;2008
Miss Congeniality;212.742.720;106.807.667;2000
Entrapment;212.404.396;87.704.396;1999
Ace Ventura: When Nature Calls;212.385.533;108.385.533;1995
End of Days;211.989.043;66.889.043;1999
Bridget Jones's Baby;211.952.420;24.252.420;2016
Battle Los Angeles;211.819.354;83.552.429;2011
Fury;211.817.906;85.817.906;2014
Australia;211.787.511;49.554.002;2008
Due Date;211.780.824;100.539.043;2010
Master and Commander: The Far Side of the World;211.622.535;93.927.920;2003
Lemony Snicket's A Series of Unfortunate Events;211.468.235;118.634.549;2004
District 9;210.888.950;115.646.235;2009
The Jungle Book;210.310.084;141.843.612;1967
Moonraker;210.308.099;70.308.099;1979
The Others;209.947.037;96.522.687;2001
Horrible Bosses;209.838.559;117.538.559;2011
Red Dragon;209.196.298;93.149.898;2002
Tomorrowland;209.035.668;93.436.322;2015
Me Before You;208.314.186;56.245.075;2016
Safe House;208.076.205;126.373.434;2012
S.W.A.T.;207.725.639;116.934.650;2003
Little Women;207.601.214;108.101.214;2019
Traffic;207.515.725;124.115.725;2000
Paranormal Activity 3;207.039.844;104.028.807;2011
Philadelphia;206.678.440;77.446.440;1993
Sleepy Hollow;206.071.502;101.071.502;1999
The Holiday;205.841.885;63.224.849;2006
London Has Fallen;205.754.447;62.524.260;2016
A Dog's Purpose;205.736.628;64.508.620;2017
The Break-Up;205.668.210;118.703.275;2006
Journey to the West;205.637.183;18.058;2013
JFK;205.405.498;70.405.498;1991
White House Down;205.366.737;73.103.784;2013
Fun with Dick and Jane;204.681.899;110.332.737;2005
Eat Pray Love;204.594.016;80.574.010;2010
You Don't Mess with the Zohan;204.313.400;100.018.837;2008
King Arthur;203.567.857;51.882.244;2004
Hairspray;203.552.922;118.871.849;2007
Yogi Bear;203.512.950;100.246.011;2010
Everest;203.427.584;43.482.270;2015
Vanilla Sky;203.388.341;100.618.344;2001
Arrival;203.388.186;100.546.139;2016
Need for Speed;203.277.636;43.577.636;2014
Ponyo;203.204.882;15.743.471;2008
Garfield;203.172.417;75.369.589;2004
The Addams Family;203.044.905;100.044.905;2019
Patch Adams;202.292.902;135.026.902;1998
Teenage Mutant Ninja Turtles;201.965.915;135.265.915;1990
Kindergarten Cop;201.957.688;91.457.688;1990
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn;201.858.461;84.158.461;2020
Straight Outta Compton;201.634.991;161.197.785;2015
21 Jump Street;201.585.328;138.447.667;2012
Valkyrie;201.545.517;83.077.833;2008
Open Season;200.811.689;85.105.259;2006
Cats & Dogs;200.687.492;93.385.515;2001
The Hunt for Red October;200.512.643;122.012.643;1990
Percy Jackson: Sea of Monsters;199.850.315;68.559.554;2013
Two Weeks Notice;199.043.242;93.354.851;2002
RED;199.006.387;90.380.162;2010
City of Angels;198.685.114;78.685.114;1998
The Pacifier;198.636.868;113.086.868;2005
50 First Dates;198.520.934;120.908.074;2004
Total Recall;198.467.168;58.877.969;2012
The Island;198.326.350;670.883;2018
The Impossible;198.087.212;19.019.882;2012
Lost in Thailand;197.757.387;57.387;2012
Christopher Robin;197.744.377;99.215.042;2018
Jack the Giant Slayer;197.687.603;65.187.603;2013
Smurfs: The Lost Village;197.183.546;45.020.282;2017
Spy Kids 3-D: Game Over;197.101.678;111.761.982;2003
Panic Room;197.079.546;96.397.334;2002
The Other Woman;196.710.396;83.911.193;2014
Stargate;196.567.262;71.567.262;1994
Beowulf;196.393.745;82.280.579;2007
The Vow;196.114.570;125.014.030;2012
Anger Management;195.745.823;135.645.823;2003
Tropic Thunder;195.702.811;110.515.313;2008
The Shape of Water;195.333.312;63.859.435;2017
The Pelican Brief;195.268.056;100.768.056;1993
The BFG;195.243.411;55.483.770;2016
Rocketman;195.179.299;96.368.160;2019
The Intern;194.564.672;75.764.672;2015
Wallace & Gromit: The Curse of the Were-Rabbit;194.111.171;56.110.897;2005
Gnomeo & Juliet;193.967.670;99.967.670;2011
The Sum of All Fears;193.921.372;118.907.036;2002
Gangs of New York;193.772.504;77.812.000;2002
The Monkey King 2;193.678.298;709.982;2016
Paranormal Activity;193.355.800;107.918.810;2009
The Equalizer;192.330.738;101.530.738;2014
The Lego Movie 2: The Second Part;192.306.508;105.806.508;2019
Downton Abbey;192.094.429;96.854.135;2019
The Addams Family;191.502.426;113.502.426;1991
The Longest Yard;191.466.556;158.119.460;2005
Cheaper by the Dozen;190.538.630;138.614.544;2003
The Equalizer 2;190.400.157;102.084.362;2018
Hollow Man;190.213.455;73.209.340;2000
Abominable;189.892.513;60.716.390;2019
Outbreak;189.859.560;67.659.560;1995
The Santa Clause;189.833.357;144.833.357;1994
Weathering with You;189.713.068;7.798.743;2019
The White Storm 2: Drug Lords;189.396.380;609.461;2019
The X Files;189.176.423;83.898.313;1998
Breakup Buddies;189.017.596;777.896;2014
Rambo III;189.015.611;53.715.611;1988
The Secret Life of Walter Mitty;188.133.322;58.236.838;2013
Jaws 2;187.884.007;81.766.007;1978
12 Years a Slave;187.733.202;56.671.993;2013
Heat;187.436.818;67.436.818;1995
Mr. Popper's Penguins;187.361.754;68.224.452;2011
The Grudge;187.281.115;110.359.362;2004
I Now Pronounce You Chuck & Larry;187.134.117;120.059.556;2007
The Horse Whisperer;186.883.563;75.383.563;1998
Walk the Line;186.797.986;119.519.402;2005
The Jungle Book 2;186.303.759;47.901.582;2003
The Final Destination;186.167.139;66.477.700;2009
Atlantis: The Lost Empire;186.053.725;84.056.472;2001
Inside Man;186.003.591;88.513.495;2006
The Waterboy;185.991.646;161.491.646;1998
Hugo;185.770.160;73.864.507;2011
Pitch Perfect 3;185.400.345;104.897.530;2017
Watchmen;185.382.813;107.509.799;2009
The Birdcage;185.260.553;124.060.553;1996
Moulin Rouge!;184.928.135;57.386.607;2001
Snow White and the Seven Dwarfs;184.925.486;184.925.486;1937
Hop;183.953.723;108.085.305;2011
Bad Moms;183.936.074;113.257.297;2016
Jupiter Ascending;183.887.723;47.387.723;2015
Knowing;183.658.498;79.957.634;2007
102 Dalmatians;183.611.771;66.957.026;2000
Storks;183.388.953;72.679.278;2016
Paul Blart: Mall Cop;183.348.429;146.336.178;2009
Wayne's World;183.097.323;121.697.323;1992
Maverick;183.031.272;101.631.272;1994
Mirror Mirror;183.018.522;64.935.167;2012
The Man in the Iron Mask;182.968.902;56.968.902;1998
Cape Fear;182.291.969;79.091.969;1991
The Haunted Mansion;182.290.266;75.847.266;2003
While You Were Sleeping;182.057.016;81.057.016;1995
The Bridges of Madison County;182.016.617;71.516.617;1995
Poseidon;181.674.817;60.674.817;2006
The First Wives Club;181.489.203;105.489.203;1996
Scooby-Doo 2: Monsters Unleashed;181.216.833;84.216.833;2004
Hot Shots!;181.096.164;69.467.617;1991
Road to Perdition;181.001.478;104.454.762;2002
Kill Bill: Vol. 1;180.899.045;70.099.045;2003
The Scorpion King;180.630.907;91.047.077;2002
Sweet Home Alabama;180.622.424;127.223.418;2002
Daddy's Home 2;180.613.180;104.029.443;2017
Deja Vu;180.557.550;64.038.616;2006
Hacksaw Ridge;180.450.918;67.209.615;2016
The Post;179.769.457;81.903.458;2017
Dangerous Minds;179.519.401;84.919.401;1995
The Dictator;179.379.533;59.650.222;2012
The League of Extraordinary Gentlemen;179.265.204;66.465.204;2003
Allegiant;179.246.868;66.184.051;2016
Daredevil;179.179.718;102.543.518;2003
City Slickers;179.033.791;124.033.791;1991
He's Just Not That Into You;178.866.158;93.953.653;2009
Eagle Eye;178.767.383;101.440.743;2008
Along Came Polly;178.311.729;88.097.164;2004
Flushed Away;178.281.554;64.665.672;2006
Scary Movie 4;178.262.620;90.710.620;2006
Dante's Peak;178.127.760;67.127.760;1997
Brokeback Mountain;178.062.759;83.043.761;2005
Patriot Games;178.051.587;83.351.587;1992
Flubber;177.977.226;92.977.226;1997
Baywatch;177.856.751;58.060.186;2017
Double Jeopardy;177.841.558;116.741.558;1999
War Horse;177.584.879;79.884.879;2011
Paranormal Activity 2;177.512.032;84.752.907;2010
How to Lose a Guy in 10 Days;177.502.387;105.813.373;2003
Alien vs. Predator;177.427.090;80.282.231;2004
Hero;177.395.557;53.710.019;2002
The 40-Year-Old Virgin;177.378.645;109.449.237;2005
Lee Daniels' The Butler;177.313.795;116.632.095;2013
The Haunting;177.311.151;91.411.151;1999
The Descendants;177.243.185;82.584.160;2011
The A-Team;177.238.796;77.222.099;2010
Tootsie;177.200.000;177.200.000;1982
In the Line of Fire;176.997.168;102.314.823;1993
Analyze This;176.885.658;106.885.658;1999
The Hitman's Bodyguard;176.586.701;75.468.583;2017
Looper;176.506.819;66.486.205;2012
Dr. Dolittle 2;176.104.344;112.952.899;2001
The Italian Job;176.070.171;106.128.601;2003
The Bucket List;175.372.502;93.466.502;2007
Sleeping with the Enemy;174.999.005;101.599.005;1991
Cowboys & Aliens;174.822.325;100.240.551;2011
The Mule;174.804.407;103.804.407;2018
George of the Jungle;174.463.257;105.263.257;1997
Evan Almighty;174.440.724;100.462.298;2007
Identity Thief;173.965.010;134.506.920;2013
The Nutcracker and the Four Realms;173.961.069;54.858.851;2018
Big Momma's House;173.959.438;117.559.438;2000
In Time;173.930.596;37.520.095;2011
Amélie;173.924.742;33.225.499;2001
Operation Mekong;173.839.072;800.012;2016
Anchorman 2: The Legend Continues;173.649.931;127.352.707;2013
Creed;173.567.581;109.767.581;2015
Gemini Man;173.469.516;48.546.770;2019
The Girl on the Train;173.185.859;75.395.035;2016
Scream;173.046.663;103.046.663;1996
Cold Mountain;173.013.509;95.636.509;2003
Black Hawk Down;172.989.651;108.638.745;2001
The Grand Budapest Hotel;172.936.941;59.301.324;2014
The Santa Clause 2;172.855.065;139.236.327;2002
Cloverfield;172.394.180;80.048.433;2008
Scream 2;172.363.301;101.363.301;1997
Couples Retreat;171.844.840;109.204.945;2009
Antz;171.757.863;90.757.863;1998
Blood Diamond;171.720.398;57.377.916;2006
Jackass 3D;171.685.792;117.229.692;2010
No Country for Old Men;171.627.166;74.283.625;2007
Spies in Disguise;171.616.764;66.757.013;2019
John Wick: Chapter 2;171.539.887;92.029.184;2017
Cocktail;171.504.781;78.222.753;1988
Mr. Deeds;171.269.535;126.293.452;2002
Contact;171.120.329;100.920.329;1997
Superbad;170.812.526;121.463.226;2007
The Other Guys;170.458.922;119.219.978;2010
The Specialist;170.362.582;57.362.582;1994
Olympus Has Fallen;170.270.201;98.925.640;2013
Starsky & Hutch;170.268.750;88.237.754;2004
Shall We Dance;170.128.460;57.890.460;2004
Stuart Little 2;169.956.806;64.956.806;2002
Zookeeper;169.852.759;80.360.843;2011
Dumb and Dumber To;169.837.010;86.208.010;2014
Ghost in the Shell;169.801.921;40.563.557;2017
Seven Pounds;169.748.929;69.951.824;2008
Meet the Robinsons;169.333.034;97.822.171;2007
The Emperor's New Groove;169.327.687;89.302.687;2000
12 Monkeys;168.839.459;57.141.459;1995
Dodgeball;168.423.227;114.326.736;2004
Hellboy II: The Golden Army;168.319.243;75.986.503;2008
Insidious: The Last Key;167.885.588;67.745.330;2018
Fantastic Four;167.882.881;56.117.548;2015
Unstoppable;167.805.466;81.562.942;2010
Three Men and a Baby;167.780.960;167.780.960;1987
Magic Mike;167.739.368;113.721.571;2012
Alexander;167.298.192;34.297.191;2004
Up in the Air;166.842.739;83.823.381;2009
Nutty Professor II: The Klumps;166.339.890;123.309.890;2000
Sleepers;165.615.285;53.315.285;1996
